id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
356349,MY-0041,closed,Felda Semenchu Airport,1.58898,104.16391,,AS,Malaysia,MY,Johor,MY-01,1,Bandar Penawar,0,,,,,,,0,2022-08-26T10:23:34+00:00
356343,MY-0035,heliport,Genting Heliport,3.42491,101.7914,,AS,Malaysia,MY,Pahang,MY-06,6,Genting Highlands,0,,,,,,,0,2022-08-26T09:50:49+00:00
354866,MY-0033,heliport,Johor Polo Club Helipad,1.479169,103.78247,,AS,Malaysia,MY,Johor,MY-01,1,Johor Bahru,0,,,,,,,0,2022-06-09T17:03:24+00:00
354857,MY-0011,heliport,Istana Negara Helipad,3.161877,101.666788,,AS,Malaysia,MY,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,,,,,,,0,2022-06-09T13:42:09+00:00
354858,MY-0012,heliport,Sunway Tower Helipad,3.157058,101.703002,,AS,Malaysia,MY,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,,,,,,,0,2022-06-09T13:58:30+00:00
339979,MY-0007,heliport,TLDM Tanjung Gelang Heliport,3.96909,103.43113,,AS,Malaysia,MY,Pahang,MY-06,6,Kuantan,0,,,,,,,0,2021-01-21T16:11:32+00:00
340521,MY-0008,heliport,Limbang Heliport,4.758474,115.009884,,AS,Malaysia,MY,Sarawak,MY-13,13,Limbang,0,,,,,,,0,2021-02-01T16:59:51+00:00
41329,WMLH,heliport,TLDM Lumut Heliport,4.233307,100.616276,15,AS,Malaysia,MY,Perak,MY-08,8,Lumut,0,WMLH,,,,,,0,2021-01-21T16:09:58+00:00
339978,MY-0006,heliport,KD Malaya Heliport,4.23302,100.61787,,AS,Malaysia,MY,Perak,MY-08,8,Lumut,0,,,,,,,0,2021-01-21T16:09:18+00:00
504737,MY-0042,heliport,Station Lima Helipad,7.37375,113.84672,,AS,Malaysia,MY,Sabah,MY-12,12,Pulau Layang-Layang (Swallow Reef),0,,,,,,,0,2022-11-08T04:32:48+00:00
504746,MY-0045,heliport,Putrajaya International Convention Centre Heliport,2.893768,101.679261,187,AS,Malaysia,MY,Putrajaya (Federal Territory),MY-16,16,Putrajaya,0,,,,,,,0,2022-11-08T11:11:14+00:00
